144.9375 -37.8750 145.0000 -37.6875
--> footpath_id: 0 || address:  || clue_sa: West Melbourne, Residential || asset_type: Road Footway || deltaz: 1.16 || distance: 77.08 || grade1in: 66.4 || mcc_id: 1389541 || mccid_int: 21519 || rlmax: 28.91 || rlmin: 27.75 || segside: West || statusid: 2 || streetid: 1179 || street_group: 15114 || start_lat: -37.81081894 || start_lon: 144.95580532 || end_lat: -37.81166441 || end_lon: 144.95623347 || 
--> footpath_id: 335303522 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.85 || distance: 36.87 || grade1in: 43.4 || mcc_id: 1389200 || mccid_int: 22653 || rlmax: 26.78 || rlmin: 25.93 || segside: North || statusid: 2 || streetid: 368 || street_group: 14289 || start_lat: -37.81030940 || start_lon: 144.95691903 || end_lat: -37.81043879 || end_lon: 144.95639495 || 
--> footpath_id: 14287 || address: William Street between A'Beckett Street and Franklin Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.59 || distance: 54.67 || grade1in: 92.6 || mcc_id: 1389334 || mccid_int: 21529 || rlmax: 28.54 || rlmin: 27.95 || segside: East || statusid: 2 || streetid: 1179 || street_group: 15419 || start_lat: -37.80969942 || start_lon: 144.95561289 || end_lat: -37.81028212 || end_lon: 144.95591805 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.59 || distance: 54.67 || grade1in: 92.6 || mcc_id: 1389334 || mccid_int: 21529 || rlmax: 28.54 || rlmin: 27.95 || segside: East || statusid: 2 || streetid: 1179 || street_group: 15419 || start_lat: -37.80969942 || start_lon: 144.95561289 || end_lat: -37.81028212 || end_lon: 144.95591805 || 
--> footpath_id: 14559 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 0 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 0 || streetid: 0 || street_group: 15419 || start_lat: -37.80969022 || start_lon: 144.95564438 || end_lat: -37.80950702 || end_lon: 144.95688453 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 0 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 0 || streetid: 0 || street_group: 15419 || start_lat: -37.80969022 || start_lon: 144.95564438 || end_lat: -37.80950702 || end_lon: 144.95688453 || 
--> footpath_id: 335303405 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 21527 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 2 || streetid: 644 || street_group: 15419 || start_lat: -37.80966142 || start_lon: 144.95563136 || end_lat: -37.80953603 || end_lon: 144.95744355 || 
--> footpath_id: 14560 || address: Franklin Street between Queen Street and William Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 21527 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 2 || streetid: 644 || street_group: 15419 || start_lat: -37.80966142 || start_lon: 144.95563136 || end_lat: -37.80953603 || end_lon: 144.95744355 || 
--> footpath_id: 14561 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.59 || distance: 54.67 || grade1in: 92.6 || mcc_id: 1389334 || mccid_int: 0 || rlmax: 28.54 || rlmin: 27.95 || segside:  || statusid: 0 || streetid: 0 || street_group: 15419 || start_lat: -37.80969023 || start_lon: 144.95564438 || end_lat: -37.81028212 || end_lon: 144.95591805 || 
--> footpath_id: 14561 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.59 || distance: 54.67 || grade1in: 92.6 || mcc_id: 1389334 || mccid_int: 0 || rlmax: 28.54 || rlmin: 27.95 || segside:  || statusid: 0 || streetid: 0 || street_group: 15419 || start_lat: -37.80969023 || start_lon: 144.95564438 || end_lat: -37.81028212 || end_lon: 144.95591805 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.84 || distance: 57.04 || grade1in: 31.0 || mcc_id: 1387659 || mccid_int: 21524 || rlmax: 25.54 || rlmin: 23.70 || segside: South || statusid: 2 || streetid: 368 || street_group: 32346 || start_lat: -37.81038748 || start_lon: 144.95719896 || end_lat: -37.81023279 || end_lon: 144.95781698 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.84 || distance: 57.04 || grade1in: 31.0 || mcc_id: 1387659 || mccid_int: 21524 || rlmax: 25.54 || rlmin: 23.70 || segside: South || statusid: 2 || streetid: 368 || street_group: 32346 || start_lat: -37.81038748 || start_lon: 144.95719896 || end_lat: -37.81023279 || end_lon: 144.95781698 || 
--> footpath_id: 14563 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.84 || distance: 57.04 || grade1in: 31.0 || mcc_id: 1387659 || mccid_int: 0 || rlmax: 25.54 || rlmin: 23.70 || segside:  || statusid: 0 || streetid: 0 || street_group: 32346 || start_lat: -37.81023281 || start_lon: 144.95781699 || end_lat: -37.81041470 || end_lon: 144.95719624 || 
--> footpath_id: 335310301 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.84 || distance: 57.04 || grade1in: 31.0 || mcc_id: 1387659 || mccid_int: 0 || rlmax: 25.54 || rlmin: 23.70 || segside:  || statusid: 0 || streetid: 0 || street_group: 32346 || start_lat: -37.81023281 || start_lon: 144.95781699 || end_lat: -37.81041470 || end_lon: 144.95719624 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 2.42 || distance: 58.14 || grade1in: 24.0 || mcc_id: 1387449 || mccid_int: 20026 || rlmax: 23.76 || rlmin: 21.34 || segside: North || statusid: 2 || streetid: 780 || street_group: 32346 || start_lat: -37.81117668 || start_lon: 144.95792648 || end_lat: -37.81099123 || end_lon: 144.95868948 || 
--> footpath_id: 14566 || address: La Trobe Street between Queen Street and Wills Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 2.42 || distance: 58.14 || grade1in: 24.0 || mcc_id: 1387449 || mccid_int: 20026 || rlmax: 23.76 || rlmin: 21.34 || segside: North || statusid: 2 || streetid: 780 || street_group: 32346 || start_lat: -37.81117668 || start_lon: 144.95792648 || end_lat: -37.81099123 || end_lon: 144.95868948 || 
--> footpath_id: 335304063 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.61 || distance: 171.82 || grade1in: 37.3 || mcc_id: 1390456 || mccid_int: 21527 || rlmax: 29.56 || rlmin: 24.95 || segside:  || statusid: 2 || streetid: 644 || street_group: 18322 || start_lat: -37.80921293 || start_lon: 144.95749979 || end_lat: -37.80905693 || end_lon: 144.95564588 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.61 || distance: 171.82 || grade1in: 37.3 || mcc_id: 1390456 || mccid_int: 21527 || rlmax: 29.56 || rlmin: 24.95 || segside:  || statusid: 2 || streetid: 644 || street_group: 18322 || start_lat: -37.80921293 || start_lon: 144.95749979 || end_lat: -37.80905693 || end_lon: 144.95564588 || 
--> footpath_id: 335316658 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.61 || distance: 171.82 || grade1in: 37.3 || mcc_id: 1390456 || mccid_int: 0 || rlmax: 29.56 || rlmin: 24.95 || segside:  || statusid: 0 || streetid: 0 || street_group: 18322 || start_lat: -37.80900981 || start_lon: 144.95565417 || end_lat: -37.80921292 || end_lon: 144.95749980 || 
--> footpath_id: 14841 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.61 || distance: 171.82 || grade1in: 37.3 || mcc_id: 1390456 || mccid_int: 0 || rlmax: 29.56 || rlmin: 24.95 || segside:  || statusid: 0 || streetid: 0 || street_group: 18322 || start_lat: -37.80900981 || start_lon: 144.95565417 || end_lat: -37.80921292 || end_lon: 144.95749980 || 
--> footpath_id: 14845 || address: A'Beckett Street between Wills Street and Queen Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.21 || distance: 46.36 || grade1in: 38.3 || mcc_id: 1385750 || mccid_int: 21524 || rlmax: 24.33 || rlmin: 23.12 || segside: North || statusid: 2 || streetid: 368 || street_group: 15419 || start_lat: -37.81017072 || start_lon: 144.95732687 || end_lat: -37.81002462 || end_lon: 144.95790817 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.21 || distance: 46.36 || grade1in: 38.3 || mcc_id: 1385750 || mccid_int: 21524 || rlmax: 24.33 || rlmin: 23.12 || segside: North || statusid: 2 || streetid: 368 || street_group: 15419 || start_lat: -37.81017072 || start_lon: 144.95732687 || end_lat: -37.81002462 || end_lon: 144.95790817 || 
--> footpath_id: 335304997 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 20922 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 2 || streetid: 1010 || street_group: 15419 || start_lat: -37.80959331 || start_lon: 144.95795424 || end_lat: -37.80956890 || end_lon: 144.95743782 || 
--> footpath_id: 15122 || address: Intersection of Queen Street and Franklin Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 4.82 || distance: 192.77 || grade1in: 40.0 || mcc_id: 1388278 || mccid_int: 20922 || rlmax: 28.56 || rlmin: 23.74 || segside:  || statusid: 2 || streetid: 1010 || street_group: 15419 || start_lat: -37.80959331 || start_lon: 144.95795424 || end_lat: -37.80956890 || end_lon: 144.95743782 || 
--> footpath_id: 335343919 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 3.97 || distance: 76.38 || grade1in: 19.2 || mcc_id: 1387450 || mccid_int: 20024 || rlmax: 20.98 || rlmin: 17.01 || segside: North || statusid: 2 || streetid: 780 || street_group: 17989 || start_lat: -37.81086197 || start_lon: 144.95899842 || end_lat: -37.81064498 || end_lon: 144.95986660 || 
--> footpath_id: 335343919 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 3.97 || distance: 76.38 || grade1in: 19.2 || mcc_id: 1387450 || mccid_int: 20024 || rlmax: 20.98 || rlmin: 17.01 || segside: North || statusid: 2 || streetid: 780 || street_group: 17989 || start_lat: -37.81086197 || start_lon: 144.95899842 || end_lat: -37.81064498 || end_lon: 144.95986660 || 
--> footpath_id: 335316658 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 2.06 || distance: 39.92 || grade1in: 19.4 || mcc_id: 1387426 || mccid_int: 20024 || rlmax: 19.37 || rlmin: 17.31 || segside: South || statusid: 2 || streetid: 780 || street_group: 15999 || start_lat: -37.81100876 || start_lon: 144.95939907 || end_lat: -37.81086484 || end_lon: 144.95998829 || 
--> footpath_id: 15131 || address: La Trobe Street between Elizabeth Street and Queen Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 2.06 || distance: 39.92 || grade1in: 19.4 || mcc_id: 1387426 || mccid_int: 20024 || rlmax: 19.37 || rlmin: 17.31 || segside: South || statusid: 2 || streetid: 780 || street_group: 15999 || start_lat: -37.81100876 || start_lon: 144.95939907 || end_lat: -37.81086484 || end_lon: 144.95998829 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.22 || distance: 79.84 || grade1in: 65.4 || mcc_id: 1387532 || mccid_int: 0 || rlmax: 13.56 || rlmin: 12.34 || segside:  || statusid: 0 || streetid: 0 || street_group: 15712 || start_lat: -37.81059260 || start_lon: 144.96130528 || end_lat: -37.81130752 || end_lon: 144.96162482 || 
--> footpath_id: 0 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.22 || distance: 79.84 || grade1in: 65.4 || mcc_id: 1387532 || mccid_int: 0 || rlmax: 13.56 || rlmin: 12.34 || segside:  || statusid: 0 || streetid: 0 || street_group: 15712 || start_lat: -37.81059260 || start_lon: 144.96130528 || end_lat: -37.81130752 || end_lon: 144.96162482 || 
--> footpath_id: 15144 || address: Elizabeth Street between Little Lonsdale Street and La Trobe Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.22 || distance: 79.84 || grade1in: 65.4 || mcc_id: 1387532 || mccid_int: 20169 || rlmax: 13.56 || rlmin: 12.34 || segside: West || statusid: 2 || streetid: 599 || street_group: 15712 || start_lat: -37.81059260 || start_lon: 144.96130528 || end_lat: -37.81129284 || end_lon: 144.96167373 || 
--> footpath_id: 335347117 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.22 || distance: 79.84 || grade1in: 65.4 || mcc_id: 1387532 || mccid_int: 20169 || rlmax: 13.56 || rlmin: 12.34 || segside: West || statusid: 2 || streetid: 599 || street_group: 15712 || start_lat: -37.81059260 || start_lon: 144.96130528 || end_lat: -37.81129284 || end_lon: 144.96167373 || 
--> footpath_id: 0 || address:  || clue_sa: Parkville || asset_type: Road Footway || deltaz: 0.97 || distance: 281.41 || grade1in: 290.1 || mcc_id: 1390551 || mccid_int: 22377 || rlmax: 41.86 || rlmin: 40.89 || segside: West || statusid: 2 || streetid: 405 || street_group: 16793 || start_lat: -37.79203651 || start_lon: 144.95810241 || end_lat: -37.78994626 || end_lon: 144.95723441 || 
--> footpath_id: 335307064 || address:  || clue_sa: Parkville || asset_type: Road Footway || deltaz: 0.97 || distance: 281.41 || grade1in: 290.1 || mcc_id: 1390551 || mccid_int: 22377 || rlmax: 41.86 || rlmin: 40.89 || segside: West || statusid: 2 || streetid: 405 || street_group: 16793 || start_lat: -37.79203651 || start_lon: 144.95810241 || end_lat: -37.78994626 || end_lon: 144.95723441 || 
--> footpath_id: 335316931 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.40 || distance: 24.95 || grade1in: 62.4 || mcc_id: 1386330 || mccid_int: 21523 || rlmax: 21.75 || rlmin: 21.35 || segside: West || statusid: 2 || streetid: 1010 || street_group: 32346 || start_lat: -37.81053310 || start_lon: 144.95847623 || end_lat: -37.81094671 || end_lon: 144.95871203 || 
--> footpath_id: 15422 || address: Queen Street between La Trobe Street and A'Beckett Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 0.40 || distance: 24.95 || grade1in: 62.4 || mcc_id: 1386330 || mccid_int: 21523 || rlmax: 21.75 || rlmin: 21.35 || segside: West || statusid: 2 || streetid: 1010 || street_group: 32346 || start_lat: -37.81053310 || start_lon: 144.95847623 || end_lat: -37.81094671 || end_lon: 144.95871203 || 
--> footpath_id: 15424 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 3.97 || distance: 76.38 || grade1in: 19.2 || mcc_id: 1387450 || mccid_int: 0 || rlmax: 20.98 || rlmin: 17.01 || segside:  || statusid: 0 || streetid: 0 || street_group: 17989 || start_lat: -37.81086195 || start_lon: 144.95899841 || end_lat: -37.81061377 || end_lon: 144.95985234 || 
--> footpath_id: 335316112 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 3.97 || distance: 76.38 || grade1in: 19.2 || mcc_id: 1387450 || mccid_int: 0 || rlmax: 20.98 || rlmin: 17.01 || segside:  || statusid: 0 || streetid: 0 || street_group: 17989 || start_lat: -37.81086195 || start_lon: 144.95899841 || end_lat: -37.81061377 || end_lon: 144.95985234 || 
--> footpath_id: 335309755 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.41 || distance: 65.11 || grade1in: 46.2 || mcc_id: 1387467 || mccid_int: 20024 || rlmax: 15.36 || rlmin: 13.95 || segside: North || statusid: 2 || streetid: 780 || street_group: 17989 || start_lat: -37.81026801 || start_lon: 144.96115218 || end_lat: -37.81047539 || end_lon: 144.96032842 || 
--> footpath_id: 335303077 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.41 || distance: 65.11 || grade1in: 46.2 || mcc_id: 1387467 || mccid_int: 20024 || rlmax: 15.36 || rlmin: 13.95 || segside: North || statusid: 2 || streetid: 780 || street_group: 17989 || start_lat: -37.81026801 || start_lon: 144.96115218 || end_lat: -37.81047539 || end_lon: 144.96032842 || 
--> footpath_id: 335345791 || address:  || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.16 || distance: 86.89 || grade1in: 74.9 || mcc_id: 1387533 || mccid_int: 20169 || rlmax: 13.70 || rlmin: 12.54 || segside: East || statusid: 2 || streetid: 599 || street_group: 18001 || start_lat: -37.81041579 || start_lon: 144.96151926 || end_lat: -37.81121080 || end_lon: 144.96194708 || 
--> footpath_id: 15438 || address: Elizabeth Street between Little Lonsdale Street and La Trobe Street || clue_sa: Melbourne, CBD || asset_type: Road Footway || deltaz: 1.16 || distance: 86.89 || grade1in: 74.9 || mcc_id: 1387533 || mccid_int: 20169 || rlmax: 13.70 || rlmin: 12.54 || segside: East || statusid: 2 || streetid: 599 || street_group: 18001 || start_lat: -37.81041579 || start_lon: 144.96151926 || end_lat:
